position_0,position_1,position_2,density,radius
2.867573938936578224e-03,2.737655537505214679e-03,8.222422193850598886e-05,4.386053016042066702e+03,3.063940634458484091e-05
3.654737192102193877e-03,2.268128013610560059e-03,2.297005396497132619e-04,4.386064303257398933e+03,4.206666965029554902e-05
3.007632812230177748e-03,1.046979514099429225e-03,4.021349174072531472e-04,4.386061742698668240e+03,3.609890079436822746e-05
1.901017476267360202e-04,3.334583905183571666e-03,2.724220802227795115e-04,4.386033068039360842e+03,3.395359375674264404e-05
2.539492665114548905e-03,8.997955582992001652e-04,3.968149298141547066e-04,4.386032740144885793e+03,2.662534613226816207e-05
3.074464438436688273e-03,1.894279132588574683e-03,3.643672517551917157e-04,4.386039725907526190e+03,2.662476205780370248e-05
1.827347196529489730e-03,3.557926021129999110e-03,2.988212089237406708e-04,4.386044090229476751e+03,2.339489943170825379e-05
3.340615065926480758e-03,3.181939192283681113e-03,2.532727008501280109e-04,4.386046151945009115e+03,3.893957275756619580e-05
9.386871341820834198e-04,1.630713174910038490e-03,4.735537929820572809e-04,4.386057758276972891e+03,3.399057519602454331e-05
9.299694140940867109e-04,2.096001325100373819e-03,4.618114688350256122e-04,4.386023785909198523e+03,3.568574329352940892e-05
1.419986962422794055e-03,2.562940364308873963e-03,1.579289446673102202e-04,4.386019999720054329e+03,2.073763714692733522e-05
4.709986694361520529e-04,3.152009707521296212e-03,9.415615319354527640e-05,4.386045440276068803e+03,4.335693062710367526e-05
1.102947088900584115e-03,3.393377152627303529e-03,2.195811302675476683e-04,4.386058578940346706e+03,3.810168596801235961e-05
3.865824571406636326e-03,3.892207820006671464e-03,1.738766550840511321e-04,4.386035628441100926e+03,2.785866796606054234e-05
1.889018145836073807e-04,2.809089589910638424e-03,2.732601728939923588e-04,4.386056024344436082e+03,2.721976036358069375e-05
4.247738304467916083e-04,2.818779471031643800e-03,4.426000479671325828e-05,4.386039302051462073e+03,2.725436396882308484e-05
3.458929791806332216e-03,5.759446153624655194e-04,9.839119523516589791e-05,4.386070009738517911e+03,2.952075305370028467e-05
7.240048140591753096e-04,3.810815585618717964e-03,4.032060459772416824e-04,4.386070858124799088e+03,3.286124196503672758e-05
3.186498077389240263e-03,1.596989501901166508e-03,2.121008350520819311e-04,4.386041156016919558e+03,3.150275031133178706e-05
9.534965546609752100e-04,1.923726232835138925e-03,3.280598244637480975e-04,4.386037725519541709e+03,2.930242984570072216e-05
2.518098374260616286e-03,1.045064257121344027e-03,5.385467241570994013e-04,4.386046273725330138e+03,3.415295401193646686e-05
6.963454944741132545e-04,3.838202818243675266e-03,3.434527125328347679e-05,4.386038294254219181e+03,2.621036658261708714e-05
1.925609478680998486e-03,1.343241973653658359e-03,2.724572410634325454e-04,4.386057420279335020e+03,2.931793321580461101e-05
2.278345871372521644e-03,1.746287430033872890e-03,2.541047481809661341e-04,4.386065588413175647e+03,3.051348081905717402e-05
2.916065411613680877e-03,2.731661771738350553e-03,4.787279919119255610e-04,4.386057452878470940e+03,3.185809647303938129e-05
1.018384852695393677e-03,2.429988826510379781e-03,3.447968205268724909e-04,4.386065478144130793e+03,3.709176964116093014e-05
1.486141881165238716e-03,1.944999808940576841e-03,1.985487473142974371e-04,4.386045659681954021e+03,2.760063270338463873e-05
5.908064236041689213e-04,8.739266039037474516e-04,8.911360562977840892e-05,4.386033235901177250e+03,3.270761783473810635e-05
2.719880882453460172e-03,2.632025160192221977e-03,5.398488907179785400e-04,4.386060584495367948e+03,3.385985435909011598e-05
2.908253639655754112e-03,2.285840846429464525e-04,5.130478096109171351e-04,4.386044063591490158e+03,2.277100134729453885e-05
3.425975155977280077e-03,1.777145438440215063e-03,3.456640892487332709e-04,4.386057369109606043e+03,3.408766071103033486e-05
3.878636962342620932e-03,2.127475181773018278e-03,5.213328451920094808e-04,4.386039850047126492e+03,2.696653659294245866e-05
