x, y
0.99015, 0.39915
0.99023, 0.42911
0.99023, 0.37169
0.99030, 0.45907
0.99052, 0.34173
0.99067, 0.48653
0.99089, 0.51649
0.99143, 0.30595
0.99141, 0.54395
0.99178, 0.57142
0.99215, 0.60138
0.99259, 0.62884
0.99281, 0.65880
0.99333, 0.68626
0.99419, 0.25726
0.99370, 0.71372
0.99407, 0.74368
0.99444, 0.77114
0.99481, 0.79985
0.99510, 0.82857
0.99540, 0.85728
0.99569, 0.88599
0.99592, 0.91595
0.99680, 0.22876
0.99629, 0.94341
0.99651, 0.97337
0.99673, 1.00083
0.99702, 1.03079
0.99739, 1.08821
0.99725, 1.05825
0.99776, 1.14563
0.99769, 1.11817
0.99843, 0.21628
0.99791, 1.17559
0.99806, 1.20430
0.99821, 1.23301
0.99835, 1.26297
0.99850, 1.32040
0.99843, 1.29044
0.99865, 1.35035
0.99887, 1.41527
0.99880, 1.37782
0.99895, 1.45271
0.99909, 1.54010
0.99909, 1.51014
0.99909, 1.48018
0.99913, 1.56860
1.00079, 0.19942
1.00242, 0.19069
1.00405, 0.18195
1.00582, 0.17571
1.00744, 0.16697
1.00914, 0.16073
1.01084, 0.15573
1.01247, 0.14824
1.01424, 0.14325
1.01587, 0.13826
1.01764, 0.13326
1.01927, 0.12827
1.02104, 0.12328
1.02267, 0.11704
1.02444, 0.11329
1.02622, 0.10955
1.02784, 0.10580
1.02962, 0.10081
1.03124, 0.09831
1.03301, 0.09457
1.03471, 0.09082
1.03641, 0.08833
1.03819, 0.08583
1.03981, 0.08084
1.04159, 0.07834
1.04336, 0.07584
1.04499, 0.07085
1.04676, 0.06835
1.04846, 0.06586
1.05016, 0.06336
1.05193, 0.06086
1.05356, 0.05712
1.05533, 0.05587
1.05711, 0.05337
1.05873, 0.05088
1.06051, 0.04838
1.06228, 0.04588
1.06391, 0.04339
1.06568, 0.04089
1.06745, 0.03839
1.06908, 0.03590
1.07085, 0.03340
1.07263, 0.03090
1.07425, 0.02841
1.07603, 0.02716
1.07780, 0.02591
1.07964, 0.02349
1.08136, 0.02112
1.08323, 0.01887
1.08486, 0.01663
1.08648, 0.01455
1.08829, 0.01334
1.08992, 0.01319
1.09155, 0.01199
1.09317, 0.01184
1.09492, 0.01079
1.09667, 0.00963
1.09842, 0.00742
