time, contact_angle
0.00002477615, 79.49494
0.00002866044, 78.11085
0.00003296850, 76.76450
0.00003813715, 75.37209
0.00004411612, 74.01039
0.00005046392, 72.64357
0.00005740267, 71.22471
0.00006529549, 69.81779
0.00007469076, 68.37931
0.00008496068, 66.99628
0.00009718555, 65.57486
0.0001117939, 64.16623
0.0001278798, 62.84549
0.0001487591, 61.46587
0.0001730474, 60.16816
0.0002035693, 58.89925
0.0002421723, 57.66944
0.0002897140, 56.51080
0.0003504933, 55.39994
0.0004288006, 54.36473
0.0005246032, 53.41712
0.0006526863, 52.51091
0.0008166025, 51.69747
0.001021685, 50.96646
0.001292672, 50.28202
0.001644723, 49.67806
0.002080962, 49.14054
0.002662570, 48.66167
0.002994931, 48.45448
0.003853508, 48.04923
0.004930524, 47.70392
0.006308555, 47.41399
0.008071732, 47.15012
0.009875119, 46.98289
