x, y
0.99360, 0.15995
0.99370, 0.17171
0.99370, 0.15071
0.99381, 0.18116
0.99389, 0.14000
0.99404, 0.19483
0.99430, 0.20311
0.99434, 0.12852
0.99487, 0.11999
0.99487, 0.22306
0.99521, 0.23359
0.99555, 0.24422
0.99585, 0.10840
0.99585, 0.25412
0.99615, 0.26446
0.99645, 0.10294
0.99641, 0.27480
0.99672, 0.28441
0.99690, 0.28848
0.99702, 0.29516
0.99725, 0.30481
0.99779, 0.09337
0.99747, 0.31600
0.99743, 0.30916
0.99770, 0.32603
0.99792, 0.33875
0.99811, 0.34670
0.99841, 0.08984
0.99834, 0.36006
0.99845, 0.36894
0.99856, 0.37915
0.99871, 0.38858
0.99979, 0.08220
1.00048, 0.07910
1.00178, 0.07372
1.00271, 0.07010
1.00432, 0.06439
1.00504, 0.06212
1.00655, 0.05765
1.00738, 0.05512
1.00821, 0.05336
1.00964, 0.04942
1.01017, 0.04827
1.01148, 0.04509
1.01220, 0.04352
1.01303, 0.04190
1.01454, 0.03875
1.01503, 0.03793
1.01620, 0.03506
1.01703, 0.03395
1.01752, 0.03331
1.01869, 0.03093
1.01951, 0.02965
1.02034, 0.02822
1.02185, 0.02588
1.02238, 0.02504
1.02359, 0.02313
1.02444, 0.02192
1.02487, 0.02122
1.02683, 0.01859
1.02732, 0.01788
1.02815, 0.01677
1.02929, 0.01521
1.02980, 0.01470
1.03063, 0.01375
1.03179, 0.01203
1.03229, 0.01168
1.03308, 0.01041
1.03429, 0.00925
1.03478, 0.00850
1.03595, 0.00707
1.03681, 0.00630
1.03727, 0.00611
1.03806, 0.00436
1.03923, 0.00369
1.03979, 0.00341
1.04092, 0.00166
1.04174, 0.00099
1.04224, 0.00070
