x, y
1.00327, 0.05957
1.00365, 0.05835
1.00403, 0.05711
1.00442, 0.05584
1.00480, 0.05465
1.00518, 0.05352
1.00556, 0.05238
1.00594, 0.05123
1.00632, 0.05008
1.00671, 0.04907
1.00713, 0.04793
1.00756, 0.04680
1.00795, 0.04581
1.00838, 0.04469
1.00885, 0.04355
1.00933, 0.04240
1.00981, 0.04125
1.01028, 0.04012
1.01076, 0.03906
1.01124, 0.03801
1.01171, 0.03698
1.01219, 0.03593
1.01272, 0.03479
1.01329, 0.03369
1.01386, 0.03259
1.01443, 0.03145
1.01501, 0.03031
1.01558, 0.02925
1.01615, 0.02823
1.01672, 0.02720
1.01730, 0.02616
1.01787, 0.02516
1.01849, 0.02412
1.01916, 0.02301
1.01983, 0.02192
1.02049, 0.02081
1.02116, 0.01974
1.02183, 0.01874
1.02250, 0.01773
1.02321, 0.01666
1.02398, 0.01554
1.02474, 0.01442
1.02550, 0.01337
1.02627, 0.01232
1.02703, 0.01127
1.02779, 0.01023
1.02856, 0.00923
1.02937, 0.00819
1.03023, 0.00711
1.03104, 0.00608
1.03185, 0.00506
1.03275, 0.00398
1.03366, 0.00292
1.03457, 0.00186
1.03552, 0.00074
1.03609, 0.00012
