x, y
0.99151, 0.24985
0.99200, 0.29929
0.99294, 0.19193
0.99281, 0.33848
0.99333, 0.35671
0.99436, 0.17159
0.99407, 0.38667
0.99488, 0.42736
0.99540, 0.44471
0.99584, 0.47530
0.99665, 0.52049
0.99651, 0.15324
0.99732, 0.56642
0.99778, 0.60587
0.99828, 0.65880
0.99813, 0.62634
0.99887, 0.13633
0.99865, 0.70311
0.99895, 0.75117
0.99914, 0.79686
0.99924, 0.84604
0.99943, 0.89223
0.99961, 0.98023
0.99954, 0.93966
0.99976, 1.12816
0.99976, 1.07635
0.99968, 1.03329
0.99991, 1.59752
0.99991, 1.54571
0.99991, 1.50265
0.99991, 1.45271
0.99991, 1.41027
0.99991, 1.35847
0.99991, 1.31540
0.99983, 1.26453
0.99983, 1.22178
0.99983, 1.17060
0.99991, 0.13035
1.00175, 0.12078
1.00419, 0.11091
1.00530, 0.10674
1.00715, 0.10081
1.00966, 0.09218
1.01077, 0.08864
1.01262, 0.08333
1.01513, 0.07720
1.01624, 0.07459
1.01823, 0.07085
1.02060, 0.06472
1.02171, 0.06274
1.02370, 0.05837
1.02622, 0.05349
1.02732, 0.05119
1.02917, 0.04838
1.03168, 0.04407
1.03279, 0.04245
1.03479, 0.03839
1.03715, 0.03488
1.03834, 0.03340
1.04033, 0.03153
1.04277, 0.02716
1.04388, 0.02591
1.04587, 0.02341
1.04839, 0.01978
1.04949, 0.01842
1.05149, 0.01592
1.05386, 0.01286
1.05504, 0.01118
1.05696, 0.00968
1.05947, 0.00650
1.06058, 0.00469
1.06250, 0.00219
1.06435, 0.00094
