x, y
0.99473, 0.12112
0.99451, 0.19173
0.99510, 0.20879
0.99658, 0.25997
0.99717, 0.27744
0.99828, 0.08651
0.99821, 0.33268
0.99858, 0.35236
0.99911, 0.40320
0.99939, 0.08115
0.99958, 0.48828
0.99934, 0.42911
0.99979, 0.56393
0.99991, 0.79673
0.99991, 0.71934
0.99988, 0.64532
0.99998, 1.58254
0.99998, 1.49853
0.99998, 1.41527
0.99998, 1.33537
1.00001, 1.19140
0.99998, 1.10918
0.99998, 1.03141
0.99998, 0.95340
0.99998, 0.87600
1.00271, 0.06631
1.00382, 0.06274
1.00730, 0.05201
1.00841, 0.04900
1.01188, 0.04134
1.01299, 0.03871
1.01646, 0.03192
1.01757, 0.03028
1.02104, 0.02444
1.02215, 0.02310
1.02562, 0.01729
1.02673, 0.01592
1.03021, 0.01138
1.03131, 0.01031
1.03479, 0.00548
1.03590, 0.00438
1.03893, 0.00119
0.99394, 0.13918
0.99400, 0.17580
