time, contact_angle
0.00004630803, 79.97212
0.00005312721, 78.68208
0.00006158177, 77.33721
0.00007000603, 76.18907
0.00008114667, 74.84420
0.00009341635, 73.47353
0.0001055894, 72.21573
0.0001186222, 71.00094
0.0001285193, 70.10866
0.0001454885, 68.91000
0.0001555358, 68.10909
0.0001750672, 67.03406
0.0001853802, 66.36753
0.0002023857, 65.48600
0.0002299839, 64.29809
0.0002668885, 63.04030
0.0003079472, 61.77444
0.0003614768, 60.55696
0.0004147067, 59.63780
0.0005009271, 58.39614
0.0006016197, 57.30766
0.0007350675, 56.29982
0.0009032713, 55.32422
0.001140013, 54.37012
0.001374405, 53.67135
0.001607169, 53.16608
0.001868627, 52.65544
0.002231435, 52.13942
0.002530890, 51.84916
0.003022281, 51.34927
0.003427866, 51.09126
0.003865689, 50.76875
0.004384458, 50.51074
0.004972844, 50.25273
0.005640190, 49.99472
0.006397094, 49.76897
0.007255572, 49.57546
0.008229256, 49.31745
0.009333607, 49.12394
0.01120978, 48.78531
0.01271411, 48.62405
0.01369627, 48.51117
0.01635550, 48.20479
0.01855038, 48.05966
0.02103981, 47.89840
0.02423035, 47.69415
0.02849656, 47.49526
0.03402939, 47.22113
0.03859607, 47.09213
0.04635437, 46.86637
0.05257504, 46.73736
