time, contact_angle
0.000001649831, 78.94698
0.000001841966, 78.07501
0.000002048812, 77.07166
0.000002266157, 76.03246
0.000002520638, 74.99327
0.000002803696, 73.95408
0.000003136057, 72.83128
0.000003430097, 71.87570
0.000003772781, 70.80067
0.000004149700, 69.72565
0.000004538781, 68.65062
0.000005020269, 67.57560
0.000005490976, 66.62002
0.000006107591, 65.46138
0.000007065111, 63.88468
0.000007814601, 62.80965
0.000008790075, 61.72268
0.000009668246, 60.80294
0.00001081436, 59.79958
0.00001216428, 58.79622
0.00001375957, 57.82870
0.00001556408, 56.89701
0.00001780357, 56.03699
0.00001969223, 55.39198
0.00002355808, 54.31695
0.00002766152, 53.48082
0.00003170083, 52.77608
0.00003708386, 52.05940
0.00004386970, 51.41438
0.00005160736, 50.80520
0.00005924365, 50.37533
0.00006677498, 49.94518
0.00008245437, 49.31789
0.00009450144, 48.90599
0.0001130533, 48.47598
0.0001305026, 48.17232
0.0001430540, 47.99608
0.0001636208, 47.75930
0.0001935612, 47.43679
0.0002341686, 47.15012
0.0002678627, 46.93511
0.0003389096, 46.63052
0.0004077195, 46.39760
0.0004905001, 46.20051
0.0006454152, 46.00342
0.0007721189, 45.87800
0.0009288847, 45.75258
0.001074511, 45.67337
0.001215428, 45.64183
0.001374826, 45.58411
0.001555128, 45.53525
0.001759076, 45.52542
0.001989770, 45.48731
0.002250719, 45.44713
0.002545891, 45.43404
0.002879772, 45.41118
0.003257441, 45.33941
0.003684640, 45.31329
0.004167863, 45.31655
0.004714459, 45.32306
0.005332738, 45.28500
0.006059862, 45.26866
0.006949656, 45.21426
0.007970102, 45.23603
0.009140385, 45.25129
