x, y
0.99371, 0.15376
0.99384, 0.17239
0.99404, 0.13459
0.99419, 0.19029
0.99464, 0.12103
0.99464, 0.20690
0.99517, 0.22395
0.99581, 0.10687
0.99570, 0.24082
0.99623, 0.25800
0.99664, 0.27321
0.99683, 0.27766
0.99728, 0.09495
0.99709, 0.29070
0.99728, 0.29516
0.99754, 0.30908
0.99792, 0.32674
0.99822, 0.34392
0.99849, 0.36048
0.99894, 0.08480
0.99871, 0.37781
0.99892, 0.39576
0.99939, 0.08231
1.00075, 0.07603
1.00120, 0.07404
1.00256, 0.06883
1.00305, 0.06704
1.00452, 0.06209
1.00501, 0.06068
1.00648, 0.05611
1.00697, 0.05495
1.00844, 0.05078
1.00893, 0.04954
1.01040, 0.04601
1.01092, 0.04487
1.01243, 0.04144
1.01292, 0.04031
1.01447, 0.03728
1.01496, 0.03634
1.01650, 0.03346
1.01699, 0.03268
1.01846, 0.02993
1.01899, 0.02907
1.02050, 0.02657
1.02102, 0.02557
1.02253, 0.02336
1.02306, 0.02250
1.02464, 0.02021
1.02513, 0.01947
1.02668, 0.01735
1.02717, 0.01661
1.02871, 0.01457
1.02920, 0.01406
1.03075, 0.01200
1.03127, 0.01157
1.03278, 0.00954
1.03331, 0.00903
1.03489, 0.00702
1.03538, 0.00659
1.03693, 0.00477
1.03742, 0.00420
1.03896, 0.00257
1.03949, 0.00203
1.04073, 0.00070
