x, y
1.00567, 0.05962
1.00618, 0.05840
1.00672, 0.05665
1.00723, 0.05538
1.00783, 0.05368
1.00833, 0.05243
1.00898, 0.05072
1.00947, 0.04949
1.01016, 0.04776
1.01067, 0.04666
1.01117, 0.04546
1.01186, 0.04388
1.01238, 0.04292
1.01276, 0.04182
1.01329, 0.04081
1.01410, 0.03908
1.01477, 0.03789
1.01563, 0.03609
1.01625, 0.03498
1.01715, 0.03328
1.01777, 0.03223
1.01868, 0.03053
1.01935, 0.02946
1.02035, 0.02778
1.02102, 0.02674
1.02208, 0.02493
1.02269, 0.02409
1.02379, 0.02243
1.02445, 0.02142
1.02550, 0.01984
1.02627, 0.01885
1.02741, 0.01727
1.02813, 0.01629
1.02949, 0.01445
1.03013, 0.01371
1.03137, 0.01210
1.03213, 0.01122
1.03337, 0.00967
1.03414, 0.00882
1.03547, 0.00728
1.03624, 0.00644
1.03765, 0.00482
1.03843, 0.00403
1.03985, 0.00252
1.04063, 0.00175
1.04196, 0.00036
