position_0,position_1,position_2,density,radius
1.133184631480795186e-02,5.387218641324790407e-04,3.830414964709491846e-04,4.386025928349463356e+03,3.063940634458484091e-05
1.087034992328476599e-02,7.032676296524828638e-04,2.870615416856517593e-04,4.386027714153196939e+03,4.206666965029554902e-05
7.984053645499311624e-03,1.862400378629342672e-03,2.049686137227187295e-04,4.386056492413528758e+03,3.609890079436822746e-05
5.827236607468692930e-03,7.403128977731590057e-04,3.901980896185963102e-04,4.386049455796643088e+03,3.395359375674264404e-05
1.085851280017149229e-02,1.825533285117252784e-03,5.087240003307571265e-04,4.386063419036750020e+03,2.662534613226816207e-05
6.851228957662982774e-03,9.127140335905583029e-04,4.351944369607446813e-04,4.386072885817343376e+03,2.662476205780370248e-05
1.300840251835146469e-02,6.819490420101367422e-04,2.692644346261957263e-04,4.386045286805249816e+03,2.339489943170825379e-05
1.282874993761325827e-02,7.279889013518784941e-04,2.898254236990706312e-04,4.386054056559561104e+03,3.893957275756619580e-05
1.288186713413972187e-02,1.583939594322551596e-03,1.635004158787391778e-04,4.386050029024558171e+03,3.399057519602454331e-05
7.211736030946482197e-03,7.164120091295581505e-04,5.181853256381878554e-04,4.386084336707672264e+03,3.568574329352940892e-05
1.381880389687884132e-02,1.536644200721286367e-03,2.912458523993847266e-04,4.386065915308577132e+03,2.073763714692733522e-05
4.142686827543442217e-03,1.377851161256716563e-03,2.432106193297370149e-04,4.386072410342729199e+03,4.335693062710367526e-05
1.022478271429847277e-02,1.205257487143801369e-03,2.899598958667429921e-04,4.386039019544066832e+03,3.810168596801235961e-05
1.327745578568116300e-02,7.286170597697939661e-05,4.154600337840781655e-04,4.386062412615255198e+03,2.785866796606054234e-05
8.041830977108997691e-03,1.415942251322415248e-03,3.955929148897394370e-04,4.386039589471403815e+03,2.721976036358069375e-05
4.127540628845337636e-03,5.823779159145520178e-04,1.304021380246349370e-04,4.386036532382423502e+03,2.725436396882308484e-05
5.664477203760142666e-03,1.443463760701328832e-03,1.591080900690572831e-04,4.386076350838367034e+03,2.952075305370028467e-05
8.677825814317946529e-03,5.106065022628277199e-04,3.428671278898211380e-04,4.386015975543752575e+03,3.286124196503672758e-05
1.108375425470983777e-02,6.727926980524887154e-04,3.553216288513714972e-04,4.386080013217803753e+03,3.150275031133178706e-05
1.210578145950073035e-02,2.122289991630964051e-04,4.140560385268454453e-04,4.386032741030016041e+03,2.930242984570072216e-05
7.195057947847449328e-03,2.710751504123001441e-04,3.242740724624007640e-04,4.386065165839888323e+03,3.415295401193646686e-05
6.243033374706094540e-03,1.625877564555304163e-03,4.969927727385419923e-05,4.386040113525622473e+03,2.621036658261708714e-05
4.995264363435313222e-03,1.040761125932748244e-03,3.481498918748485681e-04,4.386043627702910271e+03,2.931793321580461101e-05
1.117535436089211326e-02,5.332130428061286967e-04,4.841996456065161543e-04,4.386036990198969761e+03,3.051348081905717402e-05
1.335957954201870065e-02,9.981398191072396019e-04,4.397187522629595734e-04,4.386053590466359310e+03,3.185809647303938129e-05
9.167912953370958851e-03,1.708725183603552089e-04,2.085665711233555667e-04,4.386043510699559192e+03,3.709176964116093014e-05
4.884515149555821584e-03,1.950771492496203557e-03,1.523736597900210389e-04,4.386056736709155302e+03,2.760063270338463873e-05
1.025472917328116955e-02,5.827973198694235074e-04,3.819230919205922814e-04,4.386014647650845291e+03,3.270761783473810635e-05
6.092068168213780541e-03,1.551221726050702613e-03,9.284268659437978325e-05,4.386024837156379363e+03,3.385985435909011598e-05
1.279923550030358237e-02,1.665339899442599232e-03,3.991411616572396160e-04,4.386028711081913571e+03,2.277100134729453885e-05
4.693525724194069770e-03,4.370064568238754229e-04,4.911173651216618622e-04,4.386046601520075455e+03,3.408766071103033486e-05
5.221836258381455653e-03,3.304208320467737084e-04,3.240287597727836634e-04,4.386064875546495387e+03,2.696653659294245866e-05
6.711362487063225919e-03,4.573382012258790088e-04,3.418909045443963295e-04,4.386070190085179092e+03,2.372372861127936257e-05
7.680575099540490683e-03,3.112881567807082128e-04,3.179869299640162498e-04,4.386038521330958247e+03,4.196577255882696542e-05
7.821794219881952892e-03,1.448854490795003017e-03,9.583427822658116915e-05,4.386053116635105653e+03,4.302263199514093578e-05
1.010397783492071253e-02,8.777584077683856477e-04,2.506954323053190358e-04,4.386062184972663090e+03,3.756891718785180785e-05
6.303843169020050506e-03,8.858220628668632760e-05,4.880811318383341049e-04,4.386040747671297140e+03,2.952692392119527921e-05
7.223812879294936803e-03,1.353133749023768644e-03,5.461884471572842591e-04,4.386046175567757928e+03,2.498282203643022054e-05
9.560567508092830680e-03,8.015530386223332924e-04,1.773190804998777065e-04,4.386050999468247937e+03,3.528932895775395434e-05
1.317287896365819042e-02,1.352637644818820584e-03,3.887151213930469624e-04,4.386031681543226114e+03,3.162399092516678329e-05
8.201460032480255291e-03,1.672338241398440509e-03,4.172058975939020109e-04,4.386017955842562515e+03,2.573431471289678622e-05
6.803417814977149106e-03,1.192698714782555259e-03,2.626439461625812389e-04,4.386032991488628795e+03,3.242966548212402814e-05
4.086602307750793542e-03,1.601724418129382363e-03,9.027775204159600611e-05,4.386055377117281751e+03,2.197889284342995916e-05
9.022250398489816553e-03,6.856386109556648813e-04,2.179676031236985078e-04,4.386025980626811361e+03,4.025742893325587508e-05
8.703345028572301995e-03,1.965480384378367161e-03,2.502935794581168626e-04,4.386035401171370722e+03,2.873691728824323750e-05
5.818141266767866242e-03,1.219274036978496446e-03,1.602004410300258313e-04,4.386043047832686170e+03,3.493924395658195122e-05
5.063045341533472035e-03,1.270177798994424651e-04,4.201635135292444191e-05,4.386026470599792447e+03,2.964418015976294840e-05
8.251486388917126519e-03,8.582572883409489558e-04,1.319509117801579486e-04,4.386035523250663573e+03,3.279276521713910485e-05
1.170373863640743542e-02,2.831448656029461304e-04,5.216276164688426467e-04,4.386072362292300568e+03,3.318270902726220390e-05
9.782844189360151432e-03,8.101163990841519765e-05,5.525182641121909911e-04,4.386015973774477970e+03,2.728596673821420741e-05
7.049865308913181271e-03,9.042851131057414674e-04,1.892565941326784719e-04,4.386056558008383035e+03,4.333023935064526081e-05
1.115809470021743299e-02,9.724170902935304079e-04,1.065507783491031617e-04,4.386045114919095795e+03,3.689473258484005655e-05
